year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,7,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",18.00,2.00,1.43,0.00,0.57,0.00,0.00,0.00,0.00,44.00,32.00,0.00,12.00,0.00,0.00
2025,7,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",134.00,31.00,13.19,2.43,10.63,0.00,4.74,8.00,0.00,2264.00,798.00,303.00,702.00,0.00,461.00
2025,7,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",97.00,23.00,8.09,0.73,4.85,0.00,9.33,1.00,0.00,2125.00,655.00,65.00,437.00,0.00,968.00
2025,7,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",148.00,38.00,13.69,2.56,10.66,0.00,11.09,6.00,1.00,3785.00,1253.00,569.00,476.00,0.00,1487.00
2025,7,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",978.00,234.00,52.94,14.27,67.41,0.00,99.39,48.00,6.00,23417.00,3756.00,2148.00,8302.00,0.00,9211.00
2025,7,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2601.00,533.00,153.23,16.20,197.45,0.00,166.13,45.00,13.00,55178.00,12407.00,3965.00,18234.00,0.00,20572.00
2025,7,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",80.00,25.00,2.87,1.20,13.28,0.00,7.66,11.00,1.00,2392.00,114.00,245.00,811.00,0.00,1222.00
2025,7,YV,Mesa Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",92.00,14.00,6.58,2.78,3.63,0.00,1.02,2.00,0.00,595.00,202.00,249.00,82.00,0.00,62.00
2025,7,YV,Mesa Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",45.00,8.00,3.08,2.61,0.32,0.00,1.99,1.00,1.00,1191.00,287.00,439.00,55.00,0.00,410.00
2025,7,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",27.00,8.00,2.26,4.54,0.30,0.00,0.90,0.00,0.00,807.00,84.00,598.00,46.00,0.00,79.00
2025,7,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",124.00,16.00,3.44,1.57,7.67,0.00,3.33,10.00,0.00,980.00,140.00,239.00,312.00,0.00,289.00
2025,7,YX,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,22.00,0.00,0.00
2025,7,YX,Republic Airline,BNA,"Nashville, TN: Nashville International",518.00,144.00,29.75,2.67,67.06,0.00,44.52,35.00,7.00,10374.00,2526.00,474.00,3656.00,0.00,3718.00
2025,7,YX,Republic Airline,BOS,"Boston, MA: Logan International",2818.00,724.00,202.90,26.95,308.05,0.83,185.27,193.00,4.00,61290.00,17023.00,2984.00,25030.00,51.00,16202.00
2025,7,YX,Republic Airline,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",122.00,28.00,8.81,0.00,9.28,0.00,9.91,5.00,0.00,2919.00,510.00,0.00,1283.00,0.00,1126.00
2025,7,YX,Republic Airline,CLT,"Charlotte, NC: Charlotte Douglas International",268.00,49.00,20.94,0.75,14.97,0.00,12.34,12.00,1.00,4103.00,1714.00,63.00,1244.00,0.00,1082.00
2025,7,YX,Republic Airline,DCA,"Washington, DC: Ronald Reagan Washington National",2203.00,483.00,96.53,27.54,198.04,0.59,160.31,257.00,19.00,39938.00,8073.00,4064.00,13640.00,53.00,14108.00
2025,7,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00
2025,7,YX,Republic Airline,DTW,"Detroit, MI: Detroit Metro Wayne County",636.00,145.00,42.80,5.77,42.10,0.00,54.33,43.00,1.00,12678.00,3713.00,970.00,3010.00,0.00,4985.00
2025,7,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1981.00,540.00,104.41,27.06,319.51,0.00,89.01,257.00,7.00,56998.00,11963.00,6049.00,29376.00,0.00,9610.00
2025,7,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",963.00,177.00,47.11,12.81,56.72,0.00,60.36,82.00,2.00,17310.00,5138.00,1671.00,3917.00,0.00,6584.00
2025,7,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",19.00,4.00,0.00,0.00,2.29,0.00,1.71,0.00,0.00,176.00,0.00,0.00,92.00,0.00,84.00
2025,7,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1309.00,315.00,64.81,16.52,151.45,0.00,82.22,142.00,5.00,27101.00,4858.00,2113.00,13283.00,0.00,6847.00
2025,7,YX,Republic Airline,LGA,"New York, NY: LaGuardia",4768.00,1099.00,295.79,49.49,484.24,1.89,267.58,567.00,20.00,106263.00,36148.00,8308.00,36550.00,48.00,25209.00
2025,7,YX,Republic Airline,MCO,"Orlando, FL: Orlando International",93.00,32.00,10.42,1.51,11.19,0.00,8.89,0.00,0.00,2575.00,1286.00,78.00,425.00,0.00,786.00
2025,7,YX,Republic Airline,MIA,"Miami, FL: Miami International",142.00,43.00,9.77,5.99,15.01,0.04,12.18,0.00,2.00,3223.00,1057.00,592.00,801.00,4.00,769.00
2025,7,YX,Republic Airline,MSP,"Minneapolis, MN: Minneapolis-St Paul International",119.00,31.00,3.90,4.22,8.69,0.00,14.19,11.00,0.00,2175.00,186.00,594.00,546.00,0.00,849.00
2025,7,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",2016.00,564.00,105.91,36.46,262.51,1.00,158.12,62.00,5.00,46030.00,8414.00,3558.00,18557.00,18.00,15483.00
2025,7,YX,Republic Airline,PHL,"Philadelphia, PA: Philadelphia International",713.00,187.00,41.77,7.15,78.56,0.00,59.52,43.00,3.00,12873.00,2821.00,750.00,3961.00,0.00,5341.00
2025,7,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",8.00,1.00,0.00,0.00,0.15,0.00,0.85,0.00,0.00,33.00,0.00,0.00,5.00,0.00,28.00
2025,7,G7,GoJet Airlines LLC d/b/a United Express,CLT,"Charlotte, NC: Charlotte Douglas International",8.00,3.00,0.16,0.00,1.00,0.00,1.84,0.00,0.00,123.00,8.00,0.00,25.00,0.00,90.00
2025,7,G7,GoJet Airlines LLC d/b/a United Express,DCA,"Washington, DC: Ronald Reagan Washington National",289.00,94.00,13.09,2.32,25.90,0.00,52.68,43.00,1.00,14209.00,1736.00,745.00,3122.00,0.00,8606.00
2025,7,G7,GoJet Airlines LLC d/b/a United Express,DTW,"Detroit, MI: Detroit Metro Wayne County",8.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,42.00,0.00,0.00,0.00,0.00
2025,7,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",955.00,349.00,50.82,12.77,166.31,0.00,119.10,121.00,2.00,57642.00,6442.00,3783.00,26091.00,0.00,21326.00
