,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
total_delay_rate,0.2146478583244959,-0.31860264966265817,0.3433985774938706,-0.3914886892485481,0.235337658468782,0.05525860902013419,0.13519612950068544,0.10013777277967349,-0.0942957589775174,-0.19805081290549856,-0.11703707534384916,0.01949062551657046,0.014120420794745727,-0.1004063566336848,0.6496272612036965
carrier_delay_rate,0.39536495703314106,-0.0771121951015157,0.061837510106871205,0.08596709530151067,0.16388761987631864,-0.16048046364054913,0.07315208118748101,0.0162319297710114,-0.23047685497927525,-0.5471308366458499,-0.27411532984652676,-0.14933928778852182,-0.3447345142891311,0.03138575507338889,-0.4455985708159108
weather_delay_rate,-0.10123590597530616,-0.27386477864985775,0.6474245423354084,-0.16337534871029732,0.026989425656864026,0.008778625483945373,-0.06317346306275569,-0.0065345653956569395,0.002103531791269828,0.1651860583579703,0.032824986949425,0.12990781244486305,0.3273671338129941,-0.1961192725934487,-0.5226699377439601
nas_delay_rate,-0.004180073087236912,-0.07826743085331823,-0.2817664138360266,-0.4947919610682056,-0.05005549145408333,0.37719687911084904,0.6150581652827583,-0.23868041452632197,0.13391329750051467,0.03516764638084216,-0.010038771119205094,0.017181174897340664,-0.05204354754200387,0.04716268576722569,-0.2551451757183441
security_delay_rate,-0.021223815074100434,0.022434276717285487,0.09050810767468771,0.5145473190135941,0.4334142901290575,0.2307779163532172,0.49359482110937936,0.41301747722829474,0.010134629260446818,0.24768474090691386,-0.09314597850052618,0.015590638689359466,0.011354714125706832,-0.015461986102996986,-0.005677049889555577
late_aircraft_delay_rate,0.09533784994362324,-0.0450434190048391,-0.36000552649689643,-0.41173725161834623,0.37502666740751023,0.02399508897013324,-0.3504998251889928,0.5882404010710016,0.024105296030801696,0.09063379915347147,0.15839057630496678,0.039757920350994506,0.035399065920839544,0.042974660363855104,-0.20270383761229677
avg_delay_minutes,0.4078526065349905,-0.009223793517553844,0.21294236025179117,0.04244639599659799,-0.08276627167814185,0.10085260541378309,-0.023807070653930746,-0.014800532846915062,0.0898442300433835,0.09465510951103541,0.1777423733804027,0.14314139331669395,0.09050355058379296,0.8314513107356776,-0.0014599741804363342
avg_carrier_delay,0.3914389222000518,0.07603543423130467,0.05843422232149463,0.06690341657511804,-0.014974504256044645,-0.03807523784475626,-0.041188025145876675,0.012292906924736627,0.8608838098567001,-0.05704505686180611,-0.0007340786351685714,-0.09154144419140052,-0.00883169189193392,-0.27703520460898073,0.0002794877330691386
avg_weather_delay,-0.04203131515758115,0.22834138028454742,0.14797228765991008,0.03729946606407139,-0.360294430848157,0.733469225884961,-0.2020558837463615,0.2977837495979689,-0.05028934012197779,-0.332748816773326,-0.06943511029812853,0.01052905047603045,7.047276725722264e-05,-0.08563038996639245,-0.00039206896019161456
avg_nas_delay,0.4018698849486892,0.03343164537417347,0.06565786711477725,0.0511802469889723,-0.09279685239666768,0.0898129315191943,0.07092692205361414,-0.04848132553825761,-0.29644596929127,0.196087445567678,0.7049135976379298,-0.1420821159387962,-0.23850613102433724,-0.3257084802699939,0.0012908537728573586
avg_security_delay,-0.006632931914873216,0.16202120115847374,0.01503534033652138,0.05457201246430247,0.6318895101863048,0.387224123850501,-0.33141291952803054,-0.5576435919064788,0.0013660972424121508,-0.004912666014148652,0.015042230029645826,0.004887211852983418,-0.011917023105317153,-0.007417727924965611,4.92538864641777e-05
avg_late_aircraft_delay,0.3860864260766053,0.05486074425666205,-0.03260902153475883,-0.08307495655020522,-0.16936131398729123,0.0984570581693855,-0.16624483235373286,-0.04043817950713485,-0.18163624252976643,0.6062149197778732,-0.5840982091634872,-0.06186096791813787,-0.12020554228578267,-0.11125355052168455,0.0008125647021936399
arr_flights,-0.01755131390385578,0.5960389742878034,0.21282971379144083,-0.2037505136980675,0.06773801834618626,-0.18996754951403264,0.11277910951227059,0.04969849614935789,-0.003368238279597855,0.007318783084994342,-0.008553076284769347,0.6359013212953467,-0.3038775714309281,-0.07002409322754512,0.00022212731097003593
arr_del15,-0.01516529869901714,0.592659276732683,0.20032701434169686,-0.2415758356214236,0.08814920732042401,-0.14109807371117292,0.14083021293737794,0.05858557739928063,-0.0730743129249931,0.0016394143295064168,-0.013725975650050641,-0.6269763097854003,0.30344282928640437,0.09155850154523684,-0.0002868734621409602
month,0.38121901394764285,0.11829696686264951,-0.2832391615264284,0.11622403738451419,-0.014351000697911459,-0.04131168913200328,0.0972254554953654,-0.07866447742380409,-0.2035210451336243,-0.18540659181293626,-0.0352881747076011,0.3283823521167589,0.7110093852961541,-0.19739159788558203,0.004184735616699397
