flight_key,ORIGIN,DEST,dep_hour,count
AA1007,SFO,ATL,9,1
AA1025,BOS,SFO,5,1
AA1031,JFK,BOS,11,1
AA1036,DEN,DFW,20,1
AA1037,SEA,BOS,16,1
AA1038,SEA,DEN,16,1
AA1060,DEN,ORD,22,1
AA1063,IAD,ATL,13,1
AA1069,JFK,ORD,1,1
AA1076,DEN,DFW,2,1
AA1086,LAX,IAD,1,1
AA1115,IAD,SFO,13,1
AA1135,JFK,SFO,11,1
AA1138,DEN,ORD,19,1
AA1147,BOS,DEN,8,1
AA1153,ATL,LAX,6,1
AA1157,DEN,IAD,0,1
AA1158,DFW,SEA,3,1
AA116,SEA,JFK,3,1
AA1162,DFW,DEN,5,1
AA1165,ORD,BOS,13,1
AA1167,DEN,DFW,7,1
AA1171,BOS,DEN,15,1
AA1177,SEA,JFK,4,1
AA1187,ORD,ATL,16,1
AA1189,LAX,BOS,17,1
AA1194,SFO,DFW,12,1
AA1195,BOS,SEA,3,1
AA122,DFW,ORD,17,1
AA1220,SFO,SEA,7,1
AA1223,ATL,ORD,6,1
AA1225,IAD,ATL,7,1
AA1230,BOS,SEA,22,1
AA1232,JFK,BOS,15,1
AA1240,JFK,DFW,20,1
AA1260,ATL,IAD,2,1
AA1280,ORD,DFW,16,1
AA1303,SFO,LAX,23,1
AA1307,BOS,LAX,22,1
AA131,IAD,LAX,12,1
AA1319,LAX,BOS,23,1
AA1320,ATL,BOS,1,1
AA1325,ATL,SEA,6,1
AA1329,DFW,DEN,3,1
AA1334,BOS,JFK,10,1
AA1344,ATL,BOS,19,1
AA1351,SEA,LAX,15,1
AA1356,SEA,SFO,6,1
AA1358,ORD,JFK,12,1
AA1373,DEN,SEA,18,1
AA1379,JFK,SFO,1,1
AA1387,JFK,LAX,10,1
AA1388,ORD,SFO,19,1
AA1396,ORD,ATL,4,1
AA1400,DEN,JFK,6,1
AA1420,LAX,SFO,3,1
AA1429,DFW,SFO,8,1
AA1430,SFO,ORD,14,1
AA1456,JFK,LAX,17,1
AA1470,ATL,DFW,15,1
AA1474,BOS,ORD,7,1
AA1476,ATL,LAX,3,1
AA1477,IAD,SFO,16,1
AA1480,ATL,DEN,21,1
AA1493,LAX,ATL,20,1
AA1497,SFO,ATL,12,1
AA1512,DEN,LAX,1,1
AA1517,DEN,LAX,4,1
AA1524,SFO,JFK,11,1
AA1525,ATL,JFK,0,1
AA1528,JFK,IAD,3,1
AA1544,BOS,IAD,21,1
AA1547,ATL,IAD,11,1
AA155,LAX,JFK,12,1
AA1550,SFO,SEA,9,1
AA1562,ORD,IAD,23,1
AA1563,ATL,ORD,18,1
AA1565,BOS,SFO,17,1
AA1574,SEA,IAD,15,1
AA1577,JFK,IAD,13,1
AA1578,JFK,LAX,17,1
AA158,JFK,ORD,8,1
AA1605,JFK,LAX,8,1
AA1606,JFK,LAX,14,1
AA1609,LAX,JFK,22,1
AA1611,DFW,JFK,16,1
AA1615,IAD,DEN,2,1
AA1618,DEN,IAD,23,1
AA1628,DFW,ATL,18,1
AA1634,JFK,DEN,6,1
AA1645,SFO,SEA,17,1
AA1648,BOS,DFW,13,1
AA1662,BOS,SEA,22,1
AA1667,DFW,JFK,3,1
AA1670,DEN,SEA,13,1
AA1671,DEN,SFO,3,1
AA1688,LAX,BOS,20,1
AA1693,JFK,ORD,3,1
AA170,JFK,SFO,4,1
AA171,IAD,SFO,4,1
AA1710,LAX,BOS,5,1
AA1713,SFO,ORD,17,1
AA1714,ATL,IAD,21,1
AA1722,IAD,DEN,3,1
AA1725,SFO,JFK,22,1
AA1735,LAX,DFW,20,1
AA1745,SFO,DFW,19,1
AA1751,BOS,IAD,22,1
AA1761,JFK,DFW,0,1
AA1768,JFK,BOS,17,1
AA1770,DEN,IAD,12,1
AA179,JFK,IAD,15,1
AA1792,SFO,JFK,20,1
AA180,LAX,SEA,7,1
AA1804,DEN,DFW,12,1
AA1810,LAX,JFK,19,1
AA1812,BOS,SFO,7,1
AA1821,ORD,IAD,5,1
AA1841,LAX,DEN,12,1
AA1845,DFW,LAX,23,1
AA1848,IAD,DEN,1,1
AA1849,DEN,DFW,23,1
AA186,ATL,JFK,21,1
AA1860,DFW,SFO,3,1
AA188,DEN,ORD,16,1
AA1887,JFK,LAX,16,1
AA189,DEN,SEA,6,1
AA1896,DFW,ORD,7,1
AA1897,LAX,JFK,18,1
AA1898,ORD,BOS,18,1
AA190,ATL,JFK,23,1
AA1906,BOS,IAD,16,1
AA1908,SEA,SFO,0,1
AA1910,ATL,IAD,23,1
AA1912,ATL,IAD,8,1
AA1915,BOS,ATL,6,1
AA1919,SEA,ORD,10,1
AA1921,DEN,BOS,1,1
AA1925,SEA,DFW,0,1
AA1927,SFO,DEN,13,1
AA1932,LAX,JFK,9,1
AA1935,DEN,ORD,15,1
AA1942,JFK,LAX,3,1
AA1946,BOS,DEN,5,1
AA1948,IAD,SEA,23,1
AA1957,JFK,ATL,12,1
AA1982,JFK,ORD,9,1
AA1984,DEN,SEA,14,1
AA1986,BOS,SEA,17,1
AA199,ATL,LAX,0,1
AA2000,ATL,DFW,1,1
AA2001,IAD,SFO,0,1
AA2009,ATL,JFK,0,1
AA201,BOS,ORD,11,1
AA2011,BOS,DEN,0,1
AA2023,ATL,SEA,9,1
AA2038,SEA,JFK,18,1
AA2039,BOS,JFK,0,1
AA2044,SFO,SEA,20,1
AA2047,IAD,LAX,21,1
AA2049,BOS,IAD,8,1
AA2050,DEN,ATL,20,1
AA2055,SEA,BOS,3,1
AA2058,DFW,ATL,9,1
AA206,BOS,JFK,11,1
AA2075,SEA,LAX,15,1
AA2078,DFW,SEA,1,1
AA2084,LAX,SFO,17,1
AA2087,SFO,DEN,20,1
AA2094,LAX,SEA,16,1
AA2101,LAX,ORD,17,1
AA2107,ORD,DEN,7,1
AA2110,JFK,DFW,17,1
AA2115,BOS,SFO,7,1
AA2122,DFW,IAD,7,1
AA2131,ATL,BOS,15,1
AA2147,JFK,SFO,23,1
AA2178,BOS,LAX,22,1
AA2180,LAX,SFO,2,1
AA2199,BOS,ORD,9,1
AA221,SFO,DEN,20,1
AA2219,LAX,DFW,19,1
AA2224,DFW,SFO,17,1
AA2225,SFO,JFK,21,1
AA2230,ATL,SEA,2,1
AA2236,DFW,SEA,19,1
AA2251,SFO,SEA,4,1
AA2260,BOS,ATL,1,1
AA2262,IAD,BOS,6,1
AA2264,ORD,ATL,2,1
AA2269,IAD,LAX,13,1
AA2282,JFK,ORD,21,1
AA2287,ORD,DFW,16,1
AA2298,SFO,ORD,22,1
AA2302,JFK,DEN,17,1
AA2306,ATL,DFW,18,1
AA231,BOS,IAD,22,1
AA2317,SEA,LAX,3,1
AA2320,DEN,ATL,4,1
AA2342,BOS,DFW,23,1
AA237,IAD,LAX,17,1
AA2380,ORD,ATL,15,1
AA2388,SFO,IAD,14,1
AA2395,DEN,DFW,14,1
AA2399,ATL,SFO,22,1
AA2401,DFW,SFO,8,1
AA2404,SFO,SEA,15,1
AA2406,ORD,ATL,11,1
